"","IR","sample","percentage"
"1","Mock","U2OS",0.05
"2","15 min","U2OS",0.72
"3","Mock","U2OS",0
"4","15 min","U2OS",0.64
"5","Mock","U2OS",0.02
"6","15 min","U2OS",0.68
"7","Mock","U2OS",0.02
"8","15 min","U2OS",0.74
"9","Mock","U2OS",0.02
"10","15 min","U2OS",0.79
"11","Mock","Clone46",0.13
"12","15 min","Clone46",0.47
"13","Mock","Clone46",0.23
"14","15 min","Clone46",0.48
"15","Mock","Clone46",0.13
"16","15 min","Clone46",0.46
"17","Mock","Clone46",0.22
"18","15 min","Clone46",0.55
"19","Mock","Clone46",0.14
"20","15 min","Clone46",0.38
"21","Mock","Clone110",0.19
"22","15 min","Clone110",0.43
"23","Mock","Clone110",0.38
"24","15 min","Clone110",0.48
"25","Mock","Clone110",0.21
"26","15 min","Clone110",0.45
"27","Mock","Clone110",0.19
"28","15 min","Clone110",0.39
"29","Mock","Clone110",0.19
"30","15 min","Clone110",0.39
